Location	BaseForm	OriginalLemma	OriginalLemmaMeaning	OriginalConfidence	:	BaseForm	CorrectedLemma	CorrectedLemmaMeaning	CorrectedConfidence	Morphemes	Parse	Notes
Text 4, line 88	nohaj'āhin	[unknown]	'[unknown]'	0.0%	:	nohaj'āhin	noh'e:'a:	'become a bear'	100.0%	noh'o:-a:-hin	bear-INCH-AOR	(Harrington records ' after j, so j is not glottalized; e:- is Newman 1944:223, unknown if originally ay-)
Text 4, line 92	tanáj	da:nay	'jimson weed'	100.0%	:	tanáj	tana:'ey	'footprint'	100.0%	-	-	-
Text 4, line 96	noh'aj'āhin	[unknown]	'[unknown]'	0.0%	:	noh'aj'āhin	noh'e:'a:	'become a bear'	100.0%	noh'o:-a:-hin	bear-INCH-AOR	(Harrington records ' after j, so j is not glottalized; e:- is Newman 1944:223, unknown if originally ay-)
Text 8, line 28	kojunalis	[unknown]	'[unknown]'	0.0%	:	kojunalis	goyiwna:lis	'thing to bet'	100.0%	goyow-0-na:-lis	win.back.thing.lost-VN-ACQ-CONS.ADJ	(See H reel 100, slide 328 for verb goyiw-na: 'bet'; composition unsure)
Text 8, line 108	'alaqulapiw	[unknown]	'[unknown]'	0.0%	:	'alaqulapiw	'alaxulabiw	'[name]'	100.0%	-	-	(Name of Santa Ynez, H reel 89, slide 1283 and 1309)
Text 8, line 143	tha'n	ta:na	'go'	80.0%	:	tha'n	ta'an'	'also, too'	100.0%	-	-	(See H reel 100, slide 309; Newman 1944: 236)
Text 9, line 12	wiqán	[unknown]	'[unknown]'	0.0%	:	wiqán	we:xi	'to mark'	100.0%	we:xi-'an	mark-PRES	(Gloss from Clark page 224)
Text 9, line 13	ʃojowālŏqo	[unknown]	'[unknown]'	0.0%	:	ʃojowālŏqo	shroyowiyi	'surround'	100.0%	-	-	(Gloss from Clark page 383)
Text 9, line 23	weq	[unknown]	'[unknown]'	0.0%	:	weq	we:xi	'to mark'	100.0%	we:xi-0	mark-VN	(Gloss from Clark page 224)
Text 9, line 81	ts'unolsuw	trunowsol	'door'	25.0%	:	ts'unolsuw	c'uno:lus	'carrying-net'	100.0%	-	-	(See H reel 100, Slide 87; may have same root as trunu 'enclose')
Text 9, line 89	ts'unnotsuw	[unknown]	'[unknown]'	0.0%	:	ts'unnotsuw	c'uno:lus	'carrying-net'	100.0%	-	-	(See H reel 100, Slide 87; may have same root as trunu 'enclose')
Text 9, line 93	'amāman	'amama	'same'	100.0%	:	'amā%	'ama'	'and'	100.0%	-	-	(split into two lines, split in this manner for consistency with treatment)
Text 9, line 93a	-	-	-	-	:	man	'aman	'3PL.NOM'	100.0%	-	-	(Consistent with lines preceding and following)
Text 9, line 145	nahni	nanni	'1SG.SEC'	50.0%	:	nahni	nahni	'sometimes'	100.0%	-	-	-
Text 9, line 149	tsikōtēni	c'okot	'be wild, be suspicious'	50.0%	:	tsikōtēni	zhigo:di'	'rope'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 374; exact form and gloss unknown)
Text 9, line 173	hunaj%	[unknown]	'[unknown]'	0.0%	:	hunaj%	hun'ay	'merely, in vain'	100.0%	-	-	(See H reel 100, slide 300)
Text 9, line 188	'otr'o	'o:tr'u	'steal'	80.0%	:	'otr'o	'otr'ow	'hair on head'	100.0%	-	-	-
Text 9, line 216	jetjetna'	[unknown]	'[unknown]'	0.0%	:	jetjetna'	yet'yet'na:	'take one at a time'	100.0%	yet'yet'na:-'	take.one.at.a.time-FUT	(See Newman 1944:151)
Text 9, line 220	ʃojowija'n	[unknown]	'[unknown]'	0.0%	:	ʃojowija'n	shroyowiyi	'surround'	100.0%	-	-	(Gloss from Clark page 383)
Text 12, line 44	tr`ḗ%	tri'	'house'	50.0%	:	-	-	-	-	-	-	(omit, join with line 45)
Text 12, line 45	phan̄i	pana:	'arrive'	50.0%	:	tr`ḗphan̄i	tripni'	'one endowed with magic powers'	100.0%	trepan-ni	powerful.one.PL-SEC	-
Text 15, line 5	puhtʃr'a'	[unknown]	'[unknown]'	0.0%	:	puhtʃr'a'	buhtr'a'	'grown up, mature'	100.0%	-	-	(base word is bo:hutr 'grow up'; exact word confirmed as 'adult' in Clark page 4)
Text 15, line 9	pumk'aw	bumuk'	'tule (round) [Chuk.]'	80.0%	:	pumk'aw	bumuk'	'tule (round) [Chuk.]'	100.0%	-	-	(H reel 93, slide 331 confirms gloss as 'tule')
Text 15, line 15	tʃrinjāni	[unknown]	'[unknown]'	0.0%	:	tʃrinjāni	triniy	'mat'	100.0%	-	-	(See H reel 100, slide 480; base word is triniy 'spread sth out'; exact form unknown, assumed IIBc with zero verbal noun derivation from the verb)
Text 15, line 72	t`a'an	[unknown]	'[unknown]'	0.0%	:	t`a'an	ta'an'	'also, too'	100.0%	-	-	(See H reel 100, slide 309; Newman 1944: 236)
Text 15, line 156	t`a'an	[unknown]	'[unknown]'	0.0%	:	t`a'an	ta'an'	'also, too'	100.0%	-	-	(See H reel 100, slide 309; Newman 1944: 236)
Text 15, line 170	ʃrot'ʃrut'hun	shrutu	'fit sth onto sth'	50.0%	:	ʃrot'ʃrut'hun	shro:t'u	'unwrap'	100.0%	-	-	(See H reel 100, slide 486)
Text 16, line 3	huwōtʃr`uts'	[unknown]	'[unknown]'	0.0%	:	huwōtʃr`uts'	huwo:tr	'play the shell/walnut dice game'	100.0%	huwo:tr-uc'	play.game-AGT	(See H reel 89, slide 1126; reel 100, slide 109; Newman 1944:30)
Text 16, line 127	wihmi	[unknown]	'[unknown]'	0.0%	:	wihmi	wiyi	'say, do'	75.0%	wiyi-mi	do-CONS.GER	(glossed as 'again' in raw text; 
Text 16, line 142	limēk'am	[unknown]	'[unknown]'	0.0%	:	limēk'am	lime:k'a:/	'become prairie falcon'	50.0%	limik'-a:-m	prairie.falcon-INCH-CONS.GER	(See H reel 100, slide 47)
Text 16, line 158	tok̄ojni	dogoy	'dogoy'	100.0%	:	tok̄ojni	doggoy	'gaming ring'	100.0%	doggoy-ni	gaming.ring-SEC	(doggoy < dugo:gwiyi 'become straight')
Text 16, line 163	tok̄ojin	dogoy	'dogoy'	100.0%	:	tok̄ojin	doggoy	'gaming ring'	100.0%	doggoy-in	gaming.ring-GEN	-
Text 16, line 236	tok̄ojin	dogoy	'dogoy'	100.0%	:	tok̄ojin	doggoy	'gaming ring'	100.0%	doggoy-in	gaming.ring-GEN	-
Text 16, line 248	tok̄ojni	dogoy	'dogoy'	100.0%	:	tok̄ojni	doggoy	'gaming ring'	100.0%	doggoy-ni	gaming.ring-SEC	-
Text 16, line 261	tok̄ojni	dogoy	'dogoy'	100.0%	:	tok̄ojni	doggoy	'gaming ring'	100.0%	doggoy-ni	gaming.ring-SEC	-
Text 16, line 268	'inaw	[unknown]	'[unknown]'	0.0%	:	'inaw	'in	'hoop and pole ground'	100.0%	-	-	(See H reel 89, slide 1126; reel 100, slide 46)
Text 16, line 394	wijā'an	wiyi	'breakfast'	100.0%	:	wijā'an	wiyi	'say, do'	100.0%	wiy-ā'an	say-PRES	-
Text 16, line 396	'insēqo%	[unknown]	'[unknown]'	0.0%	:	'insēqo%	'insis'	'do well'	50.0%	-	-	(Base word identified; exact morphological composition uncertain)
Text 16, line 398	hawjaw	[unknown]	'[unknown]'	0.0%	:	hawjaw	hawyaw	'what kind of thing; sometime'	100.0%	-	-	(See H reel 100, slide 55)
Text 16, line 399	tʃr`aw'aʃr	[unknown]	'[unknown]'	0.0%	:	tʃr`aw'aʃr	tr'aw'a	'win from'	50.0%	-	-	(Note: may actually be traw 'ashr)
Text 16, line 531	weqwas	[unknown]	'[unknown]'	0.0%	:	weqwas	wexwas	'line'	100.0%	-	-	(See H reel 100, slide 44)
Text 16, line 615	jāsk'a	[unknown]	'[unknown]'	0.0%	:	jāsk'a	ya:sa	'let'	100.0%	-	-	(See H reel 100, slide 333; cf. reel 99, slide 28; exact form and gloss uncertain)
Text 16, line 624	apij	apij	[foreign]	100.0%	:	apij	'abiy	'with.ACCOMP'	100.0%	-	-	-
Text 16, line 734	hawjaw	[unknown]	'[unknown]'	0.0%	:	hawjaw	hawyaw	'what kind of thing; sometime'	100.0%	-	-	(See H reel 100, slide 55)
Text 16, line 781	ʃratʃr'wījhin	[unknown]	'[unknown]'	0.0%	:	ʃratʃr'wījhin	shratr'wiyi	'grab quickly'	100.0%	-	-	(See H reel 100, slide 327)
Text 16, line 786	p'unutʃr'k'aw	[unknown]	'[unknown]'	0.0%	:	p'unutʃr'k'aw	p'untr'uk'	'hand'	100.0%	-	-	(See H reel 100, slide 327)
Text 16, line 803	limits	[unknown]	'[unknown]'	0.0%	:	-	-	-	-	-	-	(omit, join with line 804)
Text 16, line 804	wījhin	wiyi	'say, do'	100.0%	:	limitswījhin	limizhwiyi	'become stunned'	100.0%	-	-	(Gloss per line notes in original transcription; exact form and gloss uncertain)
Text 16, line 978	qu'la'	xul'u	'go ahead'	100.0%	:	qu'la'	xul'a'	'a swift one'	100.0%	-	-	-
Text 16, line 981	k'at`lītsaqo'	[unknown]	'[unknown]'	0.0%	:	k'at`lītsaqo'	k'atliyca:	'play a field ball game'	100.0%	-	-	(Gloss per line notes in original transcription equates to xuwwala:; see original text)
Text 16, line 989	k'at`lītsam	[unknown]	'[unknown]'	0.0%	:	k'at`lītsam	k'atliyca:	'play a field ball game'	100.0%	-	-	(Gloss per line notes in original transcription equates to xuwwala:; see original text)
Text 16, line 1004	hēwinhin	[unknown]	'[unknown]'	0.0%	:	hēwinhin	he:win	'remain'	100.0%	he:wi-in-hin	leave-MPASS-PAST	(see H reel 99, slide 19)
Text 16, line 1015	quwala'	[unknown]	'[unknown]'	0.0%	:	quwala'	xuwwala:	'play a gambling game'	100.0%	xuwwala:-'	play.cards-FUT	(see Clark pages 58, 285; exact form and gloss uncertain)
Text 16, line 1034	k'at`lītsa	[unknown]	'[unknown]'	0.0%	:	k'at`lītsa	k'atliyca:	'play a field ball game'	100.0%	-	-	(Gloss per line notes in original transcription equates to xuwwala:; see original text)
Text 16, line 1128	'it'itʃr	[unknown]	'[unknown]'	0.0%	:	'it'itʃr	'it'itr	'[name]'	100.0%	-	-	(See H reel 100, slide 37)
Text 16, line 1292	hē'	[unknown]	'[unknown]'	0.0%	:	hē'	hey	'[interj]'	100.0%	-	-	(See H reel 
Text 16, line 1134	kowos	[unknown]	'[unknown]'	0.0%	:	kowos	gowos	'goal'	100.0%	-	-	(See H reel 100, slide 37)
Text 16, line 1193	hēlawtʃr'ēni	[unknown]	'[unknown]'	0.0%	:	hēlawtʃr'ēni	he:la:watr'	'saliva'	100.0%	-	-	(See Clark page 105)
Text 16, line 1201	p`e'es	[unknown]	'[unknown]'	0.0%	:	p`e'es	pi'is	'chest'	75.0%	-	-	(See H reel 100, slide 100)
Text 16, line 1267	jow	yo:w	'go home'	100.0%	:	jow	yow	'and, also, again'	100.0%	-	-	-
Text 16, line 1292	hē'	[unknown]	'[unknown]'	0.0%	:	hē'	-	-	-	-	-	(continues with line 1293)
Text 16, line 1293	hijuk`	hiyuk	'where.NOM'	100.0%	:	hijuk`	he:'hiyuk	'which one of two'	100.0%	-	-	(See H reel 100, slides 59, 285)
Text 16, line 1347	'a'ni	'a:n'i	'NEG.IMPER'	100.0%	:	'a'ni	'an'i	'at the side of'	100.0%	-	-	(See H reel 100, slide 286)
Text 16, line 1377	k'at`litsihni'	[unknown]	'[unknown]'	0.0%	:	k'at`litsihni'	k'atliyca:	'play a field ball game'	100.0%	-	-	(See H reel 100, slide 293; gloss per line notes in original transcription equates to xuwwala:--see original text)
Text 16, line 1394	k'at`litsaqo'	[unknown]	'[unknown]'	0.0%	:	k'at`litsaqo'	k'atliyca:	'play a field ball game'	100.0%	-	-	(See H reel 100, slide 293; gloss per line notes in original transcription equates to xuwwala:--see original text)
Text 16, line 1409	k'at`līts`a	[unknown]	'[unknown]'	0.0%	:	k'at`līts`a	k'atliyca:	'play a field ball game'	100.0%	-	-	(See H reel 100, slide 293; gloss per line notes in original transcription equates to xuwwala:--see original text)
Text 16, line 1465	'insēqo'	'ine:sa:	'be good'	50.0%	:	'insēqo'	'insis'	'do well'	50.0%	-	-	(Base word identified; exact morphological composition uncertain)
Text 16, line 1561	hujuk`nu	[unknown]	'[unknown]'	0.0%	:	hujuk`nu	huyuk	'ground'	100.0%	-	-	(Gloss as in original text; exact form and gloss uncertain)
Text 16, line 1695	sāk'at'	[unknown]	'[unknown]'	0.0%	:	sāk'at'	sa:k'at'	'milkweed sap chewing gum'	100.0%	-	-	(See H reel 100, slide 19; Clark page 66)
Text 16, line 1828	p`uʃra'āhin	[unknown]	'[unknown]'	0.0%	:	p`uʃra'āhin	po:shru	'blow on'	100.0%	-	-	-
Text 16, line 1882	kitsinhin	[unknown]	'[unknown]'	0.0%	:	kitsinhin	gizhin	'get stuck'	100.0%	gizhi-in-hin	[unknown]-MPASS-PAST	(See gloss in per line notes, H reel 100, slide 366)
Text 16, line 2027	naqhin	[unknown]	'[unknown]'	0.0%	:	maqhin	ma:xa	'procure, get (116 has maxa)'	100.0%	-	-	-
Text 16, line 2075	wa'jsi	[unknown]	'[unknown]'	0.0%	:	wa'jsi	way'si	'fast (adv)'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 367; Clark pages 105, 124)
Text 16, line 2089	t'úúk`wijā'an	[unknown]	'[unknown]'	0.0%	:	t'úúk`wijā'an	t'uukwiyi	'suck toward'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 367; exact form and gloss uncertain)
Text 16, line 2111	kawinhin	[unknown]	'[unknown]'	0.0%	:	kawinhin	gawin	'get blocked'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 367; exact form and gloss uncertain)
Text 16, line 2130	pā'jaw	[unknown]	'[unknown]'	0.0%	:	pā'jaw	pa:y'	'right (side)'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 367; cf. pa:y'e:ni in Clark pages 32, 309)
Text 16, line 2147	hajts'wīk'a	[unknown]	'[unknown]'	0.0%	:	hajts'wīk'a	hayc'wiyi	'hurry up'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 368; exact form unknown)
Text 16, line 2176	moqt`ānit`	ma:xa	'procure, get'	50.0%	:	moqt`ānit`	mo:xut	'bag'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 368; H reel 100, Slide 24; Clark page 20)
Text 16, line 2182	lima	[unknown]	'[unknown]'	0.0%	:	lima	lim'i	'have spasms (YT has faint)'	100.0%	-	-	-
Text 17, line 58	tiliwu	[unknown]	'[unknown]'	0.0%	:	tiliwu	diliwu'	'wheat'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 370; exact form unknown)
Text 17, line 80	kumantṣ`ew	[unknown]	'[unknown]'	0.0%	:	kumantṣ`ew	gumancew	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 370; exact form unknown)
Text 17, line 119	suwastjāna'	[unknown]	'[unknown]'	0.0%	:	suwastjāna'	suwastya:na'	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 370; exact form unknown)
Text 17, line 183	tiqōnaw	[unknown]	'[unknown]'	0.0%	:	tiqōnaw	dixo:n	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown)
Text 17, line 185	tiqōnaw	[unknown]	'[unknown]'	0.0%	:	tiqōnaw	dixo:n	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown)
Text 17, line 195	tiliwōnu	[unknown]	'[unknown]'	0.0%	:	tiliwōnu	diliwu'	'wheat'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown)
Text 17, line 197	siwālāni	[unknown]	'[unknown]'	0.0%	:	siwālāni	siwa:la'	'barley'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown)
Text 17, line 203	ʃrawak`anhin	[unknown]	'[unknown]'	0.0%	:	ʃrawak`anhin	shrawakan	'sell'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown; cf. H reel 89, slide 494; H reel 100, slide 324; Clark page 327)
Text 17, line 205	pākā'in	[unknown]	'[unknown]'	0.0%	:	pākā'in	ba:ga'	'cattle'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown; cf. Clark page 81)
Text 17, line 206	tiqōnaw	[unknown]	'[unknown]'	0.0%	:	tiqōnaw	dixo:n	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 371; exact form unknown)
Text 17, line 237	sijalahana'	[unknown]	'[unknown]'	0.0%	:	sīja'	si:ya'	'saddle'	100.0%	si:ya-la:-hana'	saddle-CAUS-PASS.N	(See H reel 100, Slide 266; see gloss in per line notes, H reel 100, slide 371; exact morphological parse unknown)
Text 17, line 242	sīja'	[unknown]	'[unknown]'	0.0%	:	sīja'	si:ya'	'saddle'	100.0%	-	-	(See H reel 100, Slide 266; see gloss in per line notes, H reel 100, slide 371)
Text 17, line 267	pajūtsē'in	[unknown]	'[unknown]'	0.0%	:	pajūtsē'in	baya:zhi'	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 372; exact form uncertain, original transcription appears to actually contain ā)
Text 17, line 298	tiqōnaw	[unknown]	'[unknown]'	0.0%	:	tiqōnaw	dixo:n	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 372; exact form unknown)
Text 17, line 319	'it`p`initʃr`	'itrpi:nitr	'[name]'	0.0%	:	'it`p`initʃr`	'itpinitr	'[name]'	100.0%	-	-	(exact form unknown)
Text 17, line 330	sansījan	sanli:ya'	'watermelon'	100.0%	:	sanlījan	sanli:ya'	'watermelon'	100.0%	-	-	-
Text 17, line 376	k'uṇon	[unknown]	'[unknown]'	0.0%	:	k'unon	k'unu	'strike (with the hand)'	100.0%	-	-	(Note: dictionary form needs to be fixed: Newman has k'un'u (Chaw), Clark has k'ungka)
Text 17, line 410	tiqōnaw	[unknown]	'[unknown]'	0.0%	:	tiqōnaw	dixo:n	'[name]'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 373; exact form unknown)
Text 17, line 457	wojoj	[unknown]	'[unknown]'	0.0%	:	wojoj	woyoy	'fault'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 374; exact form unknown; related to woyoyo' 'criminal')
Text 17, line 466	man'	[unknown]	'[unknown]'	0.0%	:	mani'	mani'	'much, many'	100.0%	-	-	-
Text 17, line 472	lantṣelíja'	[unknown]	'[unknown]'	0.0%	:	lantṣelíja'	lantreliya'	'rancheria'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 374)
Text 17, line 530	ʃrot`hun	[unknown]	'[unknown]'	0.0%	:	ʃrot`hun	shro:t'u	'unwrap'	100.0%	-	-	(See H reel 100, slide 486)
Text 17, line 532	tsikōtē'in	[unknown]	'[unknown]'	0.0%	:	tsikōtē'in	zhigo:di'	'rope'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 374; exact form and gloss unknown)
Text 17, line 546	wā'a	[unknown]	'[unknown]'	0.0%	:	wā'a	wa:'a	'some time'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 375; exact form and gloss uncertain; this may be the primative form of wa' 'far away')
Text 17, line 564	tʃrilewqo'	[unknown]	'[unknown]'	0.0%	:	tʃrilewqo'	tre:liw	'get dizzy, drunk'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 375; Newman has the lemma, but the form does not match H or Clark; cf. Clark page 106; exact form and gloss uncertain)
Text 17, line 583	ʃrok̄`an	[unknown]	'[unknown]'	0.0%	:	ʃrok̄`an	shrawakan	'sell'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 375; exact form unknown; cf. H reel 89, slide 494; H reel 100, slide 324; Clark page 327)
Text 17, line 590	ʃrok̄`an	[unknown]	'[unknown]'	0.0%	:	ʃrok̄`an	shrawakan	'sell'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 375; exact form unknown; cf. H reel 89, slide 494; H reel 100, slide 324; Clark page 327)
Text 17, line 643	k'iqum	[unknown]	'[unknown]'	0.0%	:	k'iqum	k'ixum	'rich'	100.0%	-	-	(See gloss in per line notes, H reel 100, slide 375; exact form unknown)
