1	ț’a	da'ak'	'shine (of sun)'	0.4
256	wáts’was	wac'was	'stake in gambling'	0.75
257	ṭau	tr'ap	'bow used for hunting'	0.5
258	ṭ’auhínyɔu	tr'uno:y	'scorch'	0.0
263	hin	hi'	'FUT'	0.5
264	káyu	ga:yal	'await?'	0.4
265	hítsi’	he:zhi'	'today'	0.7
266	má	mak'	'1DU.INCL.NOM'	0.5
268	kyɔu	goyow	'win back what one has lost'	0.4
272	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
273	mí	min	'2SG.GEN'	0.5
276	lákli	laga:	'spend the night'	0.25
278	kayu	ga:yal	'await?'	0.4
279	máxit	ma:gin	'1DU.INCL.GEN'	0.4
282	ṣɔ	shro:gu	'pull out an unfastened object'	0.25
284	pin	pil	'road'	0.5
285	nɔné	nine:	'keep still, become quiet'	0.625
288	ṭ’awa	draxa	'step over, take a step'	0.625
290	lá	lap'	'whip'	0.5
292	hin	hi'	'FUT'	0.5
293	káywa	k'ay'a	'urinate (animals)'	0.7
299	hin	hi'	'FUT'	0.5
300	'ánki	'angi'	'Q'	0.75
301	ma’ná	ma'a	'look down'	0.625
303	ṣṭan	s(hr)alap'	'shave, whittle'	0.1
304	'amki	'ama'	'3SG.NOM'	0.4
306	mɔki	me:k'i	'swallow'	0.625
309	hɔ̢́hɔ̢	hono	'lay an egg'	0.625
312	hin	hi'	'FUT'	0.5
313	ṭawa	draxa	'step over, take a step'	0.625
315	lá	lap'	'whip'	0.5
317	hin	hi'	'FUT'	0.5
318	'amánṭan	'amingin	'3DU.GEN'	0.43799999999999994
319	hitsí	hishri	'get ripe, become cooked'	0.625
320	níhi	nitr'i	'press'	0.625
322	pʿaníts’	ba:nwiyi	'run the hand over'	0.35700000000000004
323	wɛn	wik'	'2DU.VOC.IMPER'	0.0
328	'ilk’au	'a:lat	'lick'	0.1
329	lɔ́mtɔu	lo:l'o:	'leave behind, let go of, quit'	0.1
331	ci’lhinṭau	chri'in	'waylay'	0.0
332	'ilk’au	'a:lat	'lick'	0.1
333	kítax	gada:y	'be unable to reach sth, give out'	0.4
334	káyu	ga:yal	'await?'	0.4
336	yɔ́tanhin	ya'	'go'	0.0
338	yɔ	yo:w	'go home'	0.5
341	ṭau	tr'ap	'bow used for hunting'	0.5
342	yɔ	yo:w	'go home'	0.5
344	ṣilhin	shril'i	'see'	0.4
345	'ilkau	'a:lat	'lick'	0.1
347	hí	hi'	'FUT'	0.5
349	yam	ya'	'go'	0.5
350	mít’ats	mit'achr	'slightly, not much'	0.7
353	yɔutánhin	ya'	'go'	0.0
354	mí	min	'2SG.GEN'	0.5
357	ṭau	tr'ap	'bow used for hunting'	0.5
358	pí’lṣɛn	pi'is	'chest'	0.7
359	yɛ́	ya'	'go'	0.0
361	ṭ’au	tr'ap	'bow used for hunting'	0.5
363	ṣí’lhin	shri'e:l	'rain'	0.7
364	kítax	gada:y	'be unable to reach sth, give out'	0.4
365	hí	hi'	'FUT'	0.5
367	yam	ya'	'go'	0.5
370	suh’wá	suhwa:	'practice magic'	0.7
372	hin	hi'	'FUT'	0.5
373	káyu	ga:yal	'await?'	0.4
375	nɬ	na'	'1SG.NOM'	0.0
376	nímṭau	nim	'1SG.GEN'	0.0
377	'ɔ́txɔu	'o:tr'u	'steal'	0.0
378	xái̯nɛn	xata	'eat'	0.25
382	niṭ	nim	'1SG.GEN'	0.5
383	wii	wik'	'2DU.VOC.IMPER'	0.5
385	mi	min	'2SG.GEN'	0.5
386	tánhin	ta:na	'go'	0.625
387	mí	min	'2SG.GEN'	0.5
390	tánsitɛn	datr'at	'track'	0.1
392	ká	k'ac'	'obsidian'	0.5
394	ínha	'iná:	'FEAR'	0.625
398	hin	hi'	'FUT'	0.5
400	ka	k'ac'	'obsidian'	0.5
402	ínha	'iná:	'FEAR'	0.625
404	na’nim	nanni	'1SG.SEC'	0.4
406	'ɔh’yúxɔ	'ohyo:	'want, look for (YT has root ?oyoxo)'	0.4
407	'ɔ́txɔumá	'ohom+ta:	'become not'	0.14300000000000002
410	ṭau	tr'ap	'bow used for hunting'	0.5
416	'ɔh’yɔ́	'ohyo:	'want, look for (YT has root ?oyoxo)'	0.7
418	hin	hi'	'FUT'	0.5
420	ká	k'ac'	'obsidian'	0.5
430	hin	hi'	'FUT'	0.5
432	na	na'	'1SG.NOM'	0.5
438	niṭ	nim	'1SG.GEN'	0.5
439	tánhin	ta:na	'go'	0.625
440	mái̯ni	mayni	'AR.EMPH'	0.7
443	'ɔkílhin	'ogol	'come to the surface'	0.7
444	'ɔtxɔuámin	'ohom	'NEG'	0.0
445	mái̯ni	mayni	'AR.EMPH'	0.7
446	hí	hi'	'FUT'	0.5
448	yam	ya'	'go'	0.5
449	ṭau	tr'ap	'bow used for hunting'	0.5
453	ṭauṭan	tratray	'break'	0.4
454	nɔ’nwíshin	nanni	'1SG.SEC'	0.0
455	súyuk’hái̯mam	shruyna:/	'buy'	0.0
458	hin	hi'	'FUT'	0.5
460	lɔ́’lmi’	la'la'	'wild goose'	0.25
461	hí	hi'	'FUT'	0.5
463	yam	ya'	'go'	0.5
465	ṭaniṭ	tr'aniw	'badger'	0.7
466	tánhin	ta:na	'go'	0.625
467	kayu	ga:yal	'await?'	0.4
468	mí	min	'2SG.GEN'	0.5
472	k’atlítsa	gatr'la:	'fish with a hook and line'	0.1
473	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
474	mí	min	'2SG.GEN'	0.5
477	límkin	limi	'file'	0.625
478	tɔṭ’é	dotr'e:(')	'break?'	0.7
482	k’atli’ltau	ga:'ita	'girl'	0.0
486	ṭau	tr'ap	'bow used for hunting'	0.5
490	'ɔtxɔu	'o:tr'u	'steal'	0.0
492	ṣɔ́pi	shrop'ix	'stomach, paunch'	0.7
495	ṭáu	tr'ap	'bow used for hunting'	0.5
496	nai	na'	'1SG.NOM'	0.5
497	tánhin	ta:na	'go'	0.625
500	ṭau	tr'ap	'bow used for hunting'	0.5
501	ṭ’aúwinhin	tra:'in	'that.SG.GEN'	0.4
503	káyuyɔu	ga:yal	'await?'	0.0
504	hitsiyɔu	hic'e:y	'tighten'	0.1
507	yá	ya'	'go'	0.5
512	'ama	'ama'	'3SG.NOM'	0.7
514	mínwa	makwa	'1DU.INCL.PRIM'	0.4
515	há	hawa	'do what?'	0.25
517	nuk’	na'	'1SG.NOM'	0.0
518	máan	ma'an	'2PL.NOM'	0.7
520	hiṭ’awɛn	ha'traw	'what.supposed.NOM'	0.5
523	ṭau	tr'ap	'bow used for hunting'	0.5
524	hák’	ha'uk	'what.NOM'	0.4
527	yá	ya'	'go'	0.5
530	sasá	shra:pa	'burn'	0.625
533	ná	na'	'1SG.NOM'	0.5
537	ṭ’aúwɛn	traw	'if'	0.5
539	'ínsiswí	'insis'	'do well'	0.5710000000000001
541	hin	hi'	'FUT'	0.5
542	hitc’i	hishri	'get ripe, become cooked'	0.625
543	wiyá	wiyi	'say, do'	0.625
547	kayu	ga:yal	'await?'	0.4
550	ṭɛ	tra	'that.SG.NOM'	0.25
552	xálhin	xat	'food'	0.5
553	hí	hi'	'FUT'	0.5
555	yam	ya'	'go'	0.5
558	yá	ya'	'go'	0.5
563	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
565	hik’é̯ihin	hibe:y	'bring water'	0.4
566	mí	min	'2SG.GEN'	0.5
569	sasá	shra:pa	'burn'	0.625
573	ṭ’aúnɛn	tr'un	'anal hair'	0.5
577	ɔn	'op	'moon, a watch'	0.5
580	man	mak'	'1DU.INCL.NOM'	0.5
582	'ɔtxɔw	'otr'ow	'hair on head'	0.4
589	cɔpí	c'ip'i	'surround'	0.625
592	tánhin	ta:na	'go'	0.625
595	'ɔ́txɔw	'otr'ow	'hair on head'	0.4
597	ṭau	tr'ap	'bow used for hunting'	0.5
598	ṭ’auwínhin	tra:'in	'that.SG.GEN'	0.4
599	sasá	shra:pa	'burn'	0.625
603	hí	hi'	'FUT'	0.5
605	yam	ya'	'go'	0.5
606	ní’wɔu	ni'e:w	'come late'	0.1
610	nɔ́ṭsɛ́	nine:	'keep still, become quiet'	0.25
615	hin	hi'	'FUT'	0.5
616	tsapt’ɛ́	c'abbo:	'suck at sth'	0.1
618	ni	nim	'1SG.GEN'	0.5
620	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
622	ma	mak'	'1DU.INCL.NOM'	0.5
624	wɔlsɔ́	walxo:	'pass'	0.4
626	nu	na'	'1SG.NOM'	0.0
627	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
629	k’atáɬni	k'atal'	'strike the ball with the katal'	0.5
635	nɔ́	now	'hook'	0.5
637	tci	c'ip'i	'surround'	0.25
640	nɔ́	now	'hook'	0.5
642	tci	c'ip'i	'surround'	0.25
647	hin	hi'	'FUT'	0.5
648	taxínka	damna:	'try'	0.1
649	ṭí	drim	'condor'	0.5
651	mi	min	'2SG.GEN'	0.5
652	hulɔ́ṣka	hulo:shr	'sit down'	0.4
653	ṭí	drim	'condor'	0.5
655	mi	min	'2SG.GEN'	0.5
656	mí	min	'2SG.GEN'	0.5
660	táhan	daban	'lose what one has'	0.7
663	yá	ya'	'go'	0.5
667	ts’imik’	c'iwik'	'poison oak'	0.4
670	k’a	k'ac'	'obsidian'	0.5
671	mí	min	'2SG.GEN'	0.5
675	táhan	daban	'lose what one has'	0.7
676	hí	hi'	'FUT'	0.5
678	yam	ya'	'go'	0.5
681	yá	ya'	'go'	0.5
686	ṭaniṭ	tr'aniw	'badger'	0.7
687	ṭɛ́	tra	'that.SG.NOM'	0.25
689	xalhin	xat	'food'	0.5
691	mi	min	'2SG.GEN'	0.5
695	táhan	daban	'lose what one has'	0.7
698	halínhin	hala:l	'raise, lift up'	0.4
702	tánhin	ta:na	'go'	0.625
707	kɔ	k'otr'	'tule'	0.5
709	nínhin	nim	'1SG.GEN'	0.5
712	ṣí’lka	shralk'e:	'be awake'	0.1
713	ṭími	tr'ik'i	'tie, imprison'	0.625
716	hin	hi'	'FUT'	0.5
717	kɔ	k'otr'	'tule'	0.5
719	níntau	na:naw	'1SG.LOC'	0.1
723	nɔ́	now	'hook'	0.5
725	tci	c'ip'i	'surround'	0.25
729	hin	hi'	'FUT'	0.5
730	hiyɔ́k	hiyuk	'where.NOM'	0.7
732	táhan	daban	'lose what one has'	0.7
737	hin	hi'	'FUT'	0.5
738	xɔsím	xoshro	'rub'	0.25
743	hin	hi'	'FUT'	0.5
744	ts’ɔ́k’ɔ	c'o:po:/	'kiss'	0.25
746	p’unút’kau	pun'u	'fold'	0.0
749	niṭ	nim	'1SG.GEN'	0.5
751	tánhin	ta:na	'go'	0.625
752	yɛṭ’	ya'	'go'	0.0
753	háyal	hadal	'go under'	0.7
758	nɔ́	now	'hook'	0.5
760	tsi	c'ip'i	'surround'	0.25
764	hin	hi'	'FUT'	0.5
765	'itɛ́lan	'ile:ma:/	'act mean toward, be feared'	0.25
767	wánk’anan	wa:na	'give'	0.0
768	wítcɛtni	wic'e:ta	'turn into a log'	0.5
769	má	mak'	'1DU.INCL.NOM'	0.5
774	ni	nim	'1SG.GEN'	0.5
776	tá	dab	'next, on the other hand, then'	0.5
778	ni	nim	'1SG.GEN'	0.5
783	mi	min	'2SG.GEN'	0.5
784	lántɛu	la:n'a:	'listen'	0.1
785	kɛu	kew	'this.SG.LOC'	0.5
786	wɔ́wulk’a	wo:wul	'stand'	0.4
789	k’ɔ́hin	go:bin	'enter'	0.7
791	witcɛ́t’	wic'e:ta	'turn into a log'	0.75
792	tɛ	de:yi	'take the lead, get in front'	0.25
794	yau	ya'	'go'	0.5
796	ṭau	tr'ap	'bow used for hunting'	0.5
797	ṭɔ́khin	tre:kin	'fear, become exited [sic] with'	0.7
798	tuk’úynu	t'uguy	'spear fish'	0.4
804	nɔ́	now	'hook'	0.5
806	tci	c'ip'i	'surround'	0.25
809	nit	nim	'1SG.GEN'	0.5
811	tánhin	ta:na	'go'	0.625
814	nit	nim	'1SG.GEN'	0.5
816	wa’	wa	'however'	0.25
817	tánhin	ta:na	'go'	0.625
818	tsúuptau	zhu'ba'	'a part'	0.25
820	wa’	wa	'however'	0.25
823	hin	hi'	'FUT'	0.5
826	mau	mak'	'1DU.INCL.NOM'	0.5
827	ka	k'ac'	'obsidian'	0.5
829	ínhau	'iná:	'FEAR'	0.25
830	lɔkɔ́u̯ɔn	logow	'pound into powder, pulverize'	0.1
831	k’aṣí	k'asa	'stick'	0.625
837	nɔ́	now	'hook'	0.5
839	tci	c'ip'i	'surround'	0.25
841	'uṭ’hatínxɔ	'amin	'3SG.GEN'	0.0
842	lɔ́kwɔ	lo:go:/	'crazy'	0.625
849	hin	hi'	'FUT'	0.5
850	ṭípni	tripni'	'one endowed with magic powers'	0.75
851	'á	'at'	'cut'	0.5
853	’ni	'at'	'cut'	0.0
856	k’a	k'ac'	'obsidian'	0.5
857	tá	dab	'next, on the other hand, then'	0.5
859	naṣ	na'	'1SG.NOM'	0.5
860	tánhin	ta:na	'go'	0.625
861	máxhin	mak'	'1DU.INCL.NOM'	0.5
863	lókwɔ	lo:go:/	'crazy'	0.625
869	ṣta	shra:pa	'burn'	0.25
871	wiya	wiyi	'say, do'	0.625
873	án	ayanayawiyi'	'sway'	0.0
875	yɔ́u	yo:mu	'dispossess; cuckold s.o.'	0.625
877	máxɛn	ma:gin	'1DU.INCL.GEN'	0.4
878	wiya	wiyi	'say, do'	0.625
880	án	ayanayawiyi'	'sway'	0.0
883	maxhín	mak'	'1DU.INCL.NOM'	0.5
884	tá	dab	'next, on the other hand, then'	0.5
886	naṣ	na'	'1SG.NOM'	0.5
889	pitcíu̯hin	pic'i	'count'	0.625
890	máxtau	ma:xa	'procure, get (116 has maxa)'	0.25
894	wɔṭwɔṭhin	wotr'od	'increase sth, draw interest'	0.4
895	kɛɔ	kew	'this.SG.LOC'	0.5
896	xɔ́ṭ	xo:	'live, exist, be'	0.25
900	ka	k'ac'	'obsidian'	0.5
902	k	ki	'when'	0.25
903	ka	k'ac'	'obsidian'	0.5
905	k	ki	'when'	0.25
908	hin	hi'	'FUT'	0.5
911	tánhin	ta:na	'go'	0.625
912	maxhínṭan	ma:minwa	'2PL.PRIM'	0.14300000000000002
913	xá	xo:	'live, exist, be'	0.25
915	paɬ	ba:lo:	'feel in the dark'	0.625
917	nɔ	now	'hook'	0.5
919	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
924	nit	nim	'1SG.GEN'	0.5
925	tánhin	ta:na	'go'	0.625
926	yí	yit-'	'be one?'	0.5
928	’tsa	'a:p'a	'ride'	0.25
931	ṭau	tr'ap	'bow used for hunting'	0.5
932	wa’	wa	'however'	0.25
934	tisa	tisi	'come out'	0.625
936	lá	lap'	'whip'	0.5
938	hin	hi'	'FUT'	0.5
939	xa	xo:	'live, exist, be'	0.25
941	paɬ	ba:lo:	'feel in the dark'	0.625
942	nɔtcɛ́	nine:	'keep still, become quiet'	0.25
946	'ama’ṭan	'ama'	'3SG.NOM'	0.1
947	tɔ́	totr	'belly'	0.5
949	lhin	lihim	'run'	0.4
950	ts’ɛ	tso:p'	'break in the middle?'	0.0
952	náwiw	na'	'1SG.NOM'	0.5
955	wɔ́ṭhin	wotro	'hit with a club'	0.625
957	wɔ́ṭtin	wotr'od	'increase sth, draw interest'	0.7
959	ka	k'ac'	'obsidian'	0.5
961	kwʌ́hin	go:bin	'enter'	0.4
963	xiṭiuhin	xitriw	'become angry'	0.7
964	taílmi	tail	'recover, be well'	0.25
965	ṭau	tr'ap	'bow used for hunting'	0.5
967	'ɔh’yɔ́xɔ	'ohyo:	'want, look for (YT has root ?oyoxo)'	0.7
969	ka	k'ac'	'obsidian'	0.5
971	ínha	'iná:	'FEAR'	0.625
973	mɔxɔlɔ́	mo:xol	'become old'	0.7
979	hin	hi'	'FUT'	0.5
984	ṭí	drim	'condor'	0.5
986	mi	min	'2SG.GEN'	0.5
990	'amíts‘hin	'ama'	'3SG.NOM'	0.4
991	nuṣɔ́	nusos	'paternal aunt'	0.7
993	son	shro:gu	'pull out an unfastened object'	0.25
995	ṭɛ́in	tre:kin	'fear, become exited [sic] with'	0.7
998	tánhin	ta:na	'go'	0.625
999	kutɛ́	gude'	'small'	0.7
1002	tsaawí	cawa	'shout'	0.25
1004	yɔxna’	ya'	'go'	0.0
1007	hin	hi'	'FUT'	0.5
1009	nɔ	now	'hook'	0.5
1011	tcɛ́	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.25
1015	tsáu̯hin	c'ak'	'blackbird'	0.5
1017	núsus	nusos	'paternal aunt'	0.7
1020	lánhin	la:na	'hear'	0.625
1022	núsus	nusos	'paternal aunt'	0.7
1024	ṭau	tr'ap	'bow used for hunting'	0.5
1027	hin	hi'	'FUT'	0.5
1028	hawí	hawa	'do what?'	0.625
1030	nuk	na'	'1SG.NOM'	0.0
1032	tsɔ́	tso:p'	'break in the middle?'	0.5
1034	púnhun	puhuk'	'survive'	0.4
1035	hak’a	hawa	'do what?'	0.625
1037	wíntin	widin	'roll sth'	0.7
1039	yɔ	yo:w	'go home'	0.5
1040	'amítsmi	'amin	'3SG.GEN'	0.1
1041	tsáuhin	c'ak'	'blackbird'	0.5
1042	pɔ́’nyiɬ	be:ni	'cook by burying in ashes'	0.0
1043	tsáuhin	c'ak'	'blackbird'	0.5
1046	ṭau	tr'ap	'bow used for hunting'	0.5
1049	hin	hi'	'FUT'	0.5
1050	nusɔ́sɔw	nusos	'paternal aunt'	0.4
1054	ṣki	sik'i	'stick sth into the ground'	0.625
1055	mí	min	'2SG.GEN'	0.5
1060	'ankimak	'amak'	'3DU.NOM'	0.1
1062	'inɛ́sta’	'ine:sa:	'be good'	0.5
1063	sasá	shra:pa	'burn'	0.625
1069	tɔinɔu	dini	'shield'	0.0
1070	ts’ɔ	c'o:po:/	'kiss'	0.25
1074	hin	hi'	'FUT'	0.5
1075	sasá	shra:pa	'burn'	0.625
1080	tawinta	tawin	'to become morning'	0.4
1082	'inɛ́stam	'ine:sa:	'be good'	0.5
1083	xayínhin	xaya:	'place, put'	0.25
1087	'insɛ	'ile:	'fan'	0.25
1092	tanka	ta:na	'go'	0.625
1093	kɛu	kew	'this.SG.LOC'	0.5
1094	yɛ́	ya'	'go'	0.0
1096	tiu	di'	'with a little doubt'	0.5
1098	nusɔ́	nusos	'paternal aunt'	0.7
1100	suʿ	shro:gu	'pull out an unfastened object'	0.25
1102	ṭanhi	tra:ni	'that.SG.SEC'	0.625
1103	'inɛ́sta	'ine:sa:	'be good'	0.75
1106	niṭ	nim	'1SG.GEN'	0.5
1108	tánhin	ta:na	'go'	0.625
1111	yɔu	yo:mu	'dispossess; cuckold s.o.'	0.625
1112	'amítstau	'amcaw	'close to'	0.25
1113	ṭsáuhin	c'ak'	'blackbird'	0.5
1116	lánhin	la:na	'hear'	0.625
1118	núsus	nusos	'paternal aunt'	0.7
1119	ts’ɛ́ts’wisk’a	c'ec'wis	'try, make efforts'	0.0
1120	taxínk’a	damna:	'try'	0.1
1121	wiyá	wiyi	'say, do'	0.625
1127	ṭau	tr'ap	'bow used for hunting'	0.5
1130	hin	hi'	'FUT'	0.5
1131	ṭɛu	tr'e:'a:	'seek a husband'	0.25
1135	c̣an	c'ak'	'blackbird'	0.5
1136	cí’ɬhin	chri'in	'waylay'	0.4
1138	sasá	shra:pa	'burn'	0.625
1144	ts’ɔ	c'o:po:/	'kiss'	0.25
1146	wɔ́	wa	'however'	0.25
1148	hin	hi'	'FUT'	0.5
1149	tɔ́inɔu	dini	'shield'	0.0
1151	táwa	da:ba:	'try again (after you or others have failed before)'	0.625
1153	n	na'	'1SG.NOM'	0.0
1156	tau	dab	'next, on the other hand, then'	0.5
1157	cí’ɬhin	chri'in	'waylay'	0.4
1158	nai	na'	'1SG.NOM'	0.5
1162	hiyá	hiyam	'already, now'	0.7
1164	mi’	ma'	'2SG.NOM'	0.5
1168	hin	hi'	'FUT'	0.5
1169	mí	min	'2SG.GEN'	0.5
1173	yɔ́’ki’	yo'ke:	'return'	0.4
1174	núsus	nusos	'paternal aunt'	0.7
1176	wiyá	wiyi	'say, do'	0.625
1183	hɔ́lɛn	ho:le:	'tell a story'	0.625
1184	pɔnyɔ	bo:do	'circumcise'	0.25
1185	ṭɛ́	tra	'that.SG.NOM'	0.25
1187	pani	be:ni	'cook by burying in ashes'	0.625
1188	pílau	bala:s	'creep on hands and knees'	0.4
1189	kɛu	kew	'this.SG.LOC'	0.5
1190	xɔ́’	xo:	'live, exist, be'	0.25
1195	ṭaniṭ	tr'aniw	'badger'	0.7
1196	tánhin	ta:na	'go'	0.625
1197	hí	hi'	'FUT'	0.5
1199	yam	ya'	'go'	0.5
1202	cta	c'e:da:	'gather greens, eat greens (N-->V) itr/tr?'	0.625
1203	kɔ́pnɔtin	go:bo	'put in, take in'	0.25
1206	hin	hi'	'FUT'	0.5
1207	tá	dab	'next, on the other hand, then'	0.5
1209	’ak’	'at'	'cut'	0.5
1212	n	na'	'1SG.NOM'	0.0
1214	ma	mak'	'1DU.INCL.NOM'	0.5
1216	né	na'	'1SG.NOM'	0.0
1219	yɔkɔ́	yo:wo	'go home'	0.625
1221	tsi	c'ip'i	'surround'	0.25
1222	'út’aɬ	'ut't'al	'solely, nothing but'	0.75
1223	kaɛ́	k'ac'	'obsidian'	0.5
1225	ni	nim	'1SG.GEN'	0.5
1226	'a	'at'	'cut'	0.5
1228	'ni	'at'	'cut'	0.0
